reasoning,labels,feature_cap,n_train,seed,key,dataset,task_type,target_idx,model,llm_unparsed_frac,proba_degenerate,accuracy,precision,recall,f1_score,f1_macro,balanced_accuracy,cohen_kappa,matthews_corrcoef,roc_auc,log_loss
off,hidden,32,10,0,synthetic_sparse_0,synthetic_sparse,0,0,DUMMY,,False,0.5125,0.26265625,0.5125,0.3473140495867768,0.3388429752066115,0.5,0.0,0.0,0.5,0.719031120831656
off,hidden,32,10,0,synthetic_sparse_0,synthetic_sparse,0,0,RF,,False,0.525,0.5453522504892367,0.525,0.4264492753623188,0.4202898550724637,0.5146966854283928,0.0299936183790682,0.0519951907731855,0.6260162601626016,0.6980137558464792
off,hidden,32,10,0,synthetic_sparse_0,synthetic_sparse,0,0,REALTABPFN-V2,,False,0.5875,0.6355248917748918,0.5875,0.538401516487392,0.5344736378063834,0.5794246404002501,0.1613722998729351,0.208964974910944,0.7160725453408381,0.6554070995050327
off,hidden,32,10,0,synthetic_sparse_0,synthetic_sparse,0,0,GEMMA,0.0,True,0.525,0.5273809523809524,0.525,0.5232142857142857,0.5238095238095238,0.5265791119449656,0.0529595015576324,0.0535617076594194,,
off,hidden,32,10,0,synthetic_sparse_0,synthetic_sparse,0,0,QWEN,0.0,True,0.5,0.4987301587301587,0.5,0.4981143934632307,0.497171590194846,0.4984365228267667,-0.0031347962382444,-0.0031506886858482,,
off,hidden,32,10,0,synthetic_sparse_0,synthetic_sparse,0,0,LOCAL-QWEN3-8B,0.0,True,0.5125,0.75625,0.5125,0.3726744186046511,0.3798449612403101,0.524390243902439,0.0476190476190476,0.156173761888606,,
off,hidden,32,10,0,synthetic_sparse_0,synthetic_sparse,0,0,LOCAL-QWEN3-32B-FP8,0.0,True,0.5,0.4987301587301587,0.5,0.4981143934632307,0.497171590194846,0.4984365228267667,-0.0031347962382444,-0.0031506886858482,,
off,hidden,32,10,0,synthetic_sparse_0,synthetic_sparse,0,0,LOCAL-QWEN3-30B-A3B,0.0,True,0.6,0.6020113136392207,0.6000000000000001,0.5994996873045654,0.5997498436522827,0.6010006253908693,0.2014971927635683,0.2025084738044389,,
off,hidden,32,10,0,synthetic_sparse_0,synthetic_sparse,0,0,LOCAL-GEMMA-3-27B,0.0,True,0.475,0.4533757338551858,0.475,0.36875,0.375,0.4853033145716072,-0.0287813839559092,-0.0519951907731855,,
off,hidden,32,10,0,synthetic_sparse_0,synthetic_sparse,0,0,LOCAL-LLAMA-3.1-8B,0.0,True,0.5875,0.59453125,0.5875,0.5834081247047709,0.5843174303259329,0.5900562851782364,0.1791044776119403,0.1837691675495066,,
