dataset,model,reasoning,labels,feature_cap,n_train,balanced_accuracy__mean,balanced_accuracy__std,balanced_accuracy__count,matthews_corrcoef__mean,matthews_corrcoef__std,matthews_corrcoef__count,f1_macro__mean,f1_macro__std,f1_macro__count,f1_score__mean,f1_score__std,f1_score__count,roc_auc__mean,roc_auc__std,roc_auc__count
APSFailure,DUMMY,off,hidden,full,50,0.5,0.0,5,0.0,0.0,5,0.494949494949495,0.0,5,0.97010101010101,0.0,5,0.5,0.0,5
APSFailure,DUMMY,off,visible,full,50,0.5,0.0,5,0.0,0.0,5,0.494949494949495,0.0,5,0.97010101010101,0.0,5,0.5,0.0,5
APSFailure,QWEN,off,hidden,full,50,0.5,0.0,2,0.0,0.0,2,0.494949494949495,0.0,2,0.97010101010101,0.0,2,,,0
APSFailure,REALTABPFN-V2,off,hidden,full,50,0.5989795918367347,0.13787787423990344,5,0.27853905165755305,0.38800293699623933,5,0.6287750602471414,0.18442133947426,5,0.9763991180843972,0.011108622594559272,5,0.9693877551020409,0.038009348024875864,5
APSFailure,REALTABPFN-V2,off,visible,full,50,0.5989795918367347,0.13787787423990344,5,0.27853905165755305,0.38800293699623933,5,0.6287750602471414,0.18442133947426,5,0.9763991180843972,0.011108622594559272,5,0.9693877551020409,0.038009348024875864,5
APSFailure,RF,off,hidden,full,50,0.4989795918367347,0.0022817020178569477,5,-0.00287153661502632,0.006420951071078496,5,0.4944367533200021,0.0011465251384402033,5,0.9690960365072039,0.002247189271342668,5,0.976530612244898,0.015135098953256517,5
APSFailure,RF,off,visible,full,50,0.4989795918367347,0.0022817020178569477,5,-0.00287153661502632,0.006420951071078496,5,0.4944367533200021,0.0011465251384402033,5,0.9690960365072039,0.002247189271342668,5,0.976530612244898,0.015135098953256517,5
Amazon_employee_access,DUMMY,off,hidden,full,50,0.5,0.0,5,0.0,0.0,5,0.48453608247422675,0.0,5,0.9109278350515464,0.0,5,0.5,0.0,5
Amazon_employee_access,DUMMY,off,visible,full,50,0.5,0.0,5,0.0,0.0,5,0.48453608247422675,0.0,5,0.9109278350515464,0.0,5,0.5,0.0,5
Amazon_employee_access,GEMMA,off,hidden,full,50,0.4787234042553192,0.018806031414535854,5,-0.0441555479830378,0.031267261528631574,5,0.473538362216743,0.009797853573070017,5,0.890252120967477,0.01841996471737161,5,,,0
Amazon_employee_access,GEMMA,off,visible,full,50,0.47127659574468084,0.021802022906297038,5,-0.053362134949771,0.03349103008946114,5,0.4695771404233505,0.011514305970714941,5,0.8828050239958991,0.02164689522494413,5,,,0
Amazon_employee_access,LOCAL-GEMMA-3-27B,off,hidden,full,50,0.5035460992907801,0.05932434405787806,5,-0.005359898384509981,0.08770477189028278,5,0.4898756266067562,0.03833766316086829,5,0.8857661780207018,0.022888650499092614,5,,,0
Amazon_employee_access,LOCAL-LLAMA-3.1-8B,off,hidden,full,50,0.5,0.0,5,0.0,0.0,5,0.48453608247422675,0.0,5,0.9109278350515464,0.0,5,,,0
Amazon_employee_access,LOCAL-MISTRAL-7B-FP16,off,hidden,full,50,0.498936170212766,0.0023787957207444302,5,-0.00507836716119024,0.01135557418712401,5,0.48400192297420014,0.00119441695288704,5,0.9099236151914962,0.0022455038714276994,5,,,0
Amazon_employee_access,LOCAL-MISTRAL-7B-FP16,off,visible,full,50,0.5,0.0,5,0.0,0.0,5,0.48453608247422675,0.0,5,0.9109278350515464,0.0,5,,,0
Amazon_employee_access,LOCAL-MISTRAL-SMALL-3.1-24B-FP16,off,hidden,full,50,0.4829787234042553,0.01895588263958029,5,-0.034943935367035814,0.034662807154792585,5,0.47574402300751606,0.0098356131768719,5,0.8943987632541301,0.018490952772519196,5,,,0
Amazon_employee_access,LOCAL-MISTRAL-SMALL-3.1-24B-FP16,off,visible,full,50,0.5014184397163121,0.04374440833869367,5,0.00135703658821862,0.08655420064626702,5,0.4981654550144192,0.04329995153548777,5,0.8849954998715527,0.022177041686233967,5,,,0
Amazon_employee_access,LOCAL-QWEN3-30B-A3B,off,hidden,full,50,0.48723404255319147,0.016221224129762676,5,-0.029255324788439563,0.0309408396734988,5,0.47797246043201846,0.008393519028603042,5,0.8985882256121949,0.0157798157737737,5,,,0
Amazon_employee_access,LOCAL-QWEN3-30B-A3B,off,visible,full,50,0.48829787234042554,0.010231587266846481,5,-0.032775193843700076,0.02185124140723988,5,0.4785814591180747,0.0052484094394505895,5,0.8997331431419806,0.009867009746167109,5,,,0
Amazon_employee_access,LOCAL-QWEN3-32B-FP8,off,hidden,full,50,0.5141843971631206,0.06814141436374338,5,0.014819661542781882,0.08852501042350518,5,0.49194304435997155,0.04002464883031025,5,0.8494373636244505,0.04284138005063599,5,,,0
Amazon_employee_access,LOCAL-QWEN3-32B-FP8,off,visible,full,50,0.5865248226950355,0.13387053204545535,5,0.08994523997068904,0.14622328435304743,5,0.509249935251274,0.0416937680579665,5,0.8288332343880773,0.020086265918461108,5,,,0
Amazon_employee_access,LOCAL-QWEN3-8B,off,hidden,full,50,0.49787234042553197,0.004757591441488941,5,-0.00721844503771302,0.016140933796172346,5,0.4834621993127148,0.0024012757490332708,5,0.9089089347079039,0.004514398408182557,5,,,0
